lng,lat
0.06246307,51.447364
-0.23791237,51.513161
-0.097819138,51.549002
-0.12945029,51.567972
-0.2118303,51.503872
-0.17955978,51.495777
0.19062503,51.393589
-0.067618812,51.491738
-0.06088206,51.513344
-0.042226509,51.518529
-0.024636405,51.518647
-0.21310189,51.443714
0.1324857,51.548746
-0.22313254,51.592205
-0.17833264,51.594063
-0.19793604,51.578081
-0.17749781,51.589671
-0.30271698,51.582287
-0.005524681,51.375951
-0.040348367,51.384524
-2.9449227,53.417728
-0.36624762,51.519236
-0.28102154,51.505411
-0.066515995,51.635798
-0.14080046,51.646943
-0.041888869,51.679795
-0.042443271,51.674318
-0.063351706,51.604911
0.21485581,51.549837
0.21009538,51.58553
0.25224798,51.546418
0.18410339,51.59018
0.23820999,51.611247
0.21574213,51.594776
-0.46721984,51.511759
-0.47201596,51.51701
-0.3015158,51.405633
-0.31081165,51.357801
-0.29686785,51.386384
0.022142885,51.54936
0.033002261,51.520522
0.007438503,51.542985
0.066456238,51.56312
0.10513295,51.565814
-0.36435056,51.424871
-0.30481051,51.442891
-0.16612173,51.347658
-0.003070686,51.567454
-1.8319981,52.483943
-1.8318664,52.475995
-1.942982,52.427924
-1.7899287,52.468206
-1.7700663,52.48329
-1.8382328,52.514499
-1.9468282,52.409181
-1.8550354,52.472925
-1.933366,52.504747
-1.9030446,52.546035
-1.9044005,52.485093
-1.7809632,52.480263
-1.5160947,52.415216
-1.4753265,52.413784
-1.4800358,52.453406
-1.4720095,52.424395
-1.4525001,52.435859
-2.1173925,52.467776
-2.1514007,52.490635
-2.089374,52.544359
-2.1264828,52.450066
-2.0270513,52.460613
-2.0879146,52.493046
-2.1708602,52.457561
-2.0901203,52.512822
-2.1298251,52.525703
-1.7897292,52.448266
-1.7460497,52.498596
-2.0525047,52.601449
-2.177712,52.565466
-2.0542015,52.61246
-2.1094622,52.61716
-2.1082949,52.610976
-2.1381661,52.5721
-2.0952317,52.62075
-2.9241579,53.381621
-2.7844973,53.508409
-2.7532087,53.411388
-2.9750694,53.669512
-2.9735476,53.447629
-2.9852813,53.480324
-2.9657983,53.492969
-3.0329659,53.490528
-3.0658968,53.570914
-3.1118205,53.34329
-3.094434,53.412155
-3.0649211,53.423793
-2.3931039,53.582757
-2.4346702,53.570811
-2.3828568,53.562027
-2.4123502,53.550478
-2.4242382,53.607233
-2.549191,53.610329
-2.4179596,53.545353
-2.4091208,53.602127
-2.3861162,53.593323
-2.3380162,53.612883
-2.2727463,53.561035
-2.3036079,53.591026
-2.2195259,53.408664
-2.2891809,53.383042
-2.1731115,53.177128
-2.2792554,53.384845
-2.1067412,53.566907
-2.1463523,53.507677
-2.1796166,53.547441
-2.3027172,53.4939
-2.4311806,53.435556
-2.3468901,53.50791
-2.3328527,53.492561
-2.2617365,53.51147
-2.3360695,53.493361
