lng,lat
-0.17475119,51.554459
-0.18118694,51.539938
0.043503334,51.469468
0.10840003,51.503543
0.039414037,51.451382
0.07612262,51.455019
0.027859263,51.476448
0.061540877,51.448297
-0.085287532,51.558564
-0.051982113,51.554724
-0.073397024,51.572631
-0.21986753,51.475102
-0.21522693,51.477783
-0.23784312,51.513088
-0.21416542,51.481364
-0.19652447,51.467821
-0.22335426,51.49358
-0.19964278,51.474191
-0.19383663,51.481925
-0.378491,51.41549
-0.097899589,51.549839
-0.12965918,51.567804
-0.2200119,51.513925
-0.20112005,51.504716
-0.21174319,51.503889
-0.17969481,51.496004
0.19641703,51.395666
-0.11960707,51.473546
-0.11945101,51.432861
-0.10970545,51.444152
0.013290492,51.433048
-0.085017236,51.432321
-0.067913187,51.500448
-0.0973079,51.475138
-0.067604417,51.491738
-0.049679071,51.458771
-0.059678449,51.514196
-0.042753129,51.518349
-0.024709978,51.518613
-0.069612867,51.527391
-0.15548936,51.444656
-0.15950552,51.473253
-0.15192272,51.422856
-0.17974086,51.438048
-0.22556444,51.454829
-0.17234253,51.474515
-0.21969936,51.447978
-0.19708503,51.445196
-0.23421511,51.461911
-0.21307277,51.443723
-0.17668527,51.537835
-0.13452911,51.496032
-0.15217001,51.52221
-0.13908927,51.497966
-0.18779205,51.533026
0.14129208,51.576859
0.13257301,51.548763
-0.20038232,51.638889
-0.21900827,51.573628
-0.19679331,51.651764
-0.23261404,51.608661
-0.1872622,51.590982
-0.15472454,51.643629
-0.16308239,51.609553
-0.18918604,51.581085
-0.21784355,51.585696
-0.21255219,51.655755
-0.24773984,51.629534
-0.22344225,51.592408
-0.13293345,51.630147
-0.17843471,51.594038
-0.21443274,51.59648
-0.22523014,51.615428
-0.19828191,51.578824
-0.17799589,51.58949
0.10705181,51.456499
0.13975128,51.450232
0.11214363,51.44862
0.10778219,51.435793
0.11408884,51.467982
0.16616136,51.474235
0.1460511,51.457815
0.11961637,51.428799
0.1611641,51.486108
0.15559042,51.451911
0.15680702,51.454209
0.15074743,51.44656
0.11444991,51.438416
-0.3105589,51.563094
-0.29386163,51.584415
-0.29099355,51.552361
-0.27472426,51.589684
-0.21864127,51.540557
-0.24661594,51.538335
-0.29270023,51.543376
-0.30475789,51.583683
-0.28900847,51.566055
-0.25395566,51.57186
-0.26446886,51.590216
0.023226095,51.39383
-0.041223015,51.416202
0.064260585,51.365281
0.11541525,51.37489
0.047977548,51.408913
0.073606513,51.407743
-0.020983703,51.388659
0.035641557,51.369442
-0.025795281,51.399756
0.073966573,51.36707
0.1101619,51.411874
0.018930898,51.373976
0.089186077,51.418617
0.045347424,51.315441
-0.017793279,51.388317
0.020704396,51.394017
-0.005510322,51.37595
-0.094511024,51.413681
-0.14083575,51.330577
-0.04982503,51.350914
-0.001501972,51.333364
-0.087910189,51.325742
-0.038736758,51.383562
-0.10741507,51.420536
-0.1151709,51.411012
-0.049321878,51.369521
-0.13055955,51.391214
-0.13938719,51.338702
-2.9441131,53.417177
-0.36692554,51.518013
-0.3870004,51.499317
-0.28017471,51.50494
-0.27748996,51.509648
-0.33573997,51.515911
-0.31993645,51.517287
-0.067578277,51.635285
-0.061218303,51.650908
-0.081542018,51.617718
-0.14073717,51.647077
-0.042109403,51.680383
-0.045880175,51.633775
-0.083189442,51.653004
-0.042940482,51.674192
-0.11473337,51.601773
-0.063337275,51.604911
-0.10095754,51.603502
-0.10878733,51.604474
-0.067500369,51.592911
-0.3561561,51.606112
-0.30223416,51.599887
-0.28746259,51.59951
-0.36514291,51.590708
-0.37187645,51.562261
-0.33237998,51.617314
-0.32767389,51.579893
-0.33915187,51.599974
